pleiades	item	itemLabel	itemDescription	coordinates	chronique_ids	dare_ids	geonames_ids	gettytgn_ids	idaigaz_ids	loc_ids	manto_ids	nomisma_ids	topostext_ids	trismegistos_ids	viaf_ids	vici_ids	wikipedia_en
108802	http://www.wikidata.org/entity/Q636568	Belginum Archaeological Park	Archaeological site near Wederath in Germany	Point(7.16454 49.8554)		14183			2099486								
108803	http://www.wikidata.org/entity/Q581581	Bellovaci	Belgic tribe									bellovaci					https://en.wikipedia.org/wiki/Bellovaci
108804	http://www.wikidata.org/entity/Q103146434	Bendorf (Samian Ware Discovery Site)	Bendorf as Samian Ware discovery site	Point(7.566667 50.433333)													
108804	http://www.wikidata.org/entity/Q1373100	Castra of Bendorf	Roman fort	Point(7.56667 50.4194)		2174										9812	
108806	http://www.wikidata.org/entity/Q2897116	Bergilers	section of Oreye, Belgium	Point(5.3283 50.7161)		2059											
108807	http://www.wikidata.org/entity/Q1349096	Erdenburg	castle	Point(7.17405 50.9706)		17262									316876163		
108808	http://www.wikidata.org/entity/Q1090551	Beuvraignes	commune in Somme, France	Point(2.768333333 49.645277777)			3032914										https://en.wikipedia.org/wiki/Beuvraignes
108809	http://www.wikidata.org/entity/Q103148522	Bingen (Samian Ware Discovery Site)	Bingen as Samian Ware discovery site	Point(7.883333 49.966667)													
108809	http://www.wikidata.org/entity/Q285879	Bingen am Rhein	German town on the Rhine, home of the Mäuseturm	Point(7.895 49.966944444)			6557927			n79142558				27839	138367105		https://en.wikipedia.org/wiki/Bingen_am_Rhein
108811	http://www.wikidata.org/entity/Q2583396	Blariacum		Point(6.148 51.362853)		2083											
108812	http://www.wikidata.org/entity/Q2075456	Bléharies	section of Brunehaut, Belgium	Point(3.4133 50.5119)		17420											
108813	http://www.wikidata.org/entity/Q585833	Blies	river	Point(7.046111111 49.529722222)		43899	2947760								234316205		https://en.wikipedia.org/wiki/Blies
108813	http://www.wikidata.org/entity/Q585833	Blies	river	Point(7.066666666 49.114444444)		43899	2947760								234316205		https://en.wikipedia.org/wiki/Blies
108814	http://www.wikidata.org/entity/Q103148868	Blickweiler (Samian Ware Discovery Site)	Blickweiler as Samian Ware discovery site	Point(7.25 49.216667)													
108814	http://www.wikidata.org/entity/Q884038	Blickweiler	human settlement in Germany	Point(7.25295 49.21423)		17770									248279105		
108814	http://www.wikidata.org/entity/Q884038	Blickweiler	human settlement in Germany	Point(7.25194 49.2128)		17770									248279105		
108815	http://www.wikidata.org/entity/Q2906575	Blicquy	section of Leuze-en-Hainaut, Belgium	Point(3.6864 50.5875)											48148570492624310806		
108816	http://www.wikidata.org/entity/Q103148886	Bliesbruck (Samian Ware Discovery Site)	Bliesbruck as Samian Ware discovery site	Point(7.183332 49.116668)													
108816	http://www.wikidata.org/entity/Q21694	Bliesbruck	commune in Moselle, France	Point(7.180555555 49.115555555)			3032238			n92047952					136185588		https://en.wikipedia.org/wiki/Bliesbruck
108817	http://www.wikidata.org/entity/Q1735338	Castra Bodobrica	Roman fort in Germany	Point(7.591731 50.231027)		1385										8209	
